date,description,amount,category
2023-01-01,Salary,3000,Income
2023-01-01,Transfer to Savings,-300,Other
2023-01-03,Gas,-48.06,Transport
2023-01-05,Rent,-1200,Housing
2023-01-06,Phone,-59.68,Utilities
2023-01-07,Pharmacy,-304.73,Healthcare
2023-01-09,Groceries,-114.99,Food
2023-01-10,Coffee,-45.0,Food
2023-01-11,Coffee,-88.38,Food
2023-01-12,Interest,-4.86,Other
2023-01-14,Electronics,-290.79,Shopping
2023-01-15,Groceries,-93.45,Food
2023-01-16,Electronics,-142.6,Shopping
2023-01-16,Taxi,-14.69,Transport
2023-01-17,Gas,-49.51,Transport
2023-01-19,Takeout,-34.58,Food
2023-01-20,Public Transport,-55.4,Transport
2023-01-20,Clothing,-118.38,Shopping
2023-01-22,Groceries,-109.84,Food
2023-01-23,Public Transport,-53.12,Transport
2023-01-24,Electronics,-75.72,Shopping
2023-01-26,Phone,-181.61,Utilities
2023-01-27,Groceries,-62.61,Food
2023-01-31,Streaming,-91.48,Entertainment
2023-02-01,Salary,2800,Income
2023-02-01,Electric,-142.45,Utilities
2023-02-01,Restaurant,-92.93,Food
2023-02-01,Restaurant,-53.87,Food
2023-02-02,Gift,-13.91,Other
2023-02-03,Coffee,-104.85,Food
2023-02-05,Water,-87.3,Utilities
2023-02-05,Rent,-1200,Housing
2023-02-06,Clothing,-301.48,Shopping
2023-02-06,Rent,-1729.1,Housing
2023-02-06,Electronics,-123.53,Shopping
2023-02-08,Takeout,-98.47,Food
2023-02-09,Water,-43.11,Utilities
2023-02-09,Rent,-1065.06,Housing
2023-02-09,Electronics,-482.36,Shopping
2023-02-10,Concert,-34.17,Entertainment
2023-02-10,Restaurant,-54.26,Food
2023-02-11,Groceries,-10.49,Food
2023-02-13,Electric,-32.78,Utilities
2023-02-14,Coffee,-103.58,Food
2023-02-15,Internet,-82,Utilities
2023-02-16,Phone,-63.74,Utilities
2023-02-17,Rent,-896.93,Housing
2023-02-18,Mortgage,-1663.84,Housing
2023-02-20,Gas,-33.4,Transport
2023-02-21,Clothing,-99.84,Shopping
2023-02-22,Groceries,-35.59,Food
2023-02-24,Rent,-850.59,Housing
2023-02-24,Bank Fee,-48.48,Other
2023-02-25,Clothing,-206.17,Shopping
2023-02-25,Mortgage,-1702.44,Housing
2023-02-28,Electronics,-146.2,Shopping
2023-03-01,Salary,3000,Income
2023-03-01,Groceries,-116.34,Food
2023-03-02,Internet,-30.29,Utilities
2023-03-03,Rent,-856.88,Housing
2023-03-04,Clothing,-299.54,Shopping
2023-03-05,Coffee,-113.17,Food
2023-03-05,Rent,-1200,Housing
2023-03-06,Coffee,-52.05,Food
2023-03-07,Internet,-56.77,Utilities
2023-03-08,Takeout,-18.31,Food
2023-03-09,Rent,-809.32,Housing
2023-03-10,Electric,-33.19,Utilities
2023-03-13,Clothing,-187.92,Shopping
2023-03-13,Restaurant,-74.57,Food
2023-03-14,Gas,-54.09,Transport
2023-03-14,Electric,-189.01,Utilities
2023-03-14,Coffee,-107.1,Food
2023-03-15,Restaurant,-73.77,Food
2023-03-17,Takeout,-32.38,Food
2023-03-18,Takeout,-100.03,Food
2023-03-18,Restaurant,-93.22,Food
2023-03-19,Takeout,-67.55,Food
2023-03-20,Salary,3200,Income
2023-03-21,Pharmacy,-174.77,Healthcare
2023-03-23,Clothing,-449.97,Shopping
2023-03-27,Electronics,-487.05,Shopping
2023-03-28,Clothing,-432.98,Shopping
2023-03-29,Doctor,-14.79,Healthcare
2023-03-29,Streaming,-118.45,Entertainment
2023-03-29,Rent,-1066.81,Housing
2023-03-30,Coffee,-103.46,Food
2023-04-01,Salary,2800,Income
2023-04-01,Clothing,-16.71,Shopping
2023-04-01,Restaurant,-35.6,Food
2023-04-03,Takeout,-82.5,Food
2023-04-04,Coffee,-16.49,Food
2023-04-04,Bank Fee,-29.45,Other
2023-04-05,Takeout,-43.45,Food
2023-04-05,Streaming,-92.9,Entertainment
2023-04-05,Mortgage,-1699.5,Housing
2023-04-05,Rent,-1200,Housing
2023-04-07,Water,-85.56,Utilities
2023-04-09,Restaurant,-80.62,Food
2023-04-11,Mortgage,-1126.18,Housing
2023-04-11,Public Transport,-16.96,Transport
2023-04-12,Rent,-1415.51,Housing
2023-04-13,Electric,-74.7,Utilities
2023-04-15,Internet,-103.7,Utilities
